Rain,Wind
7.142857143,0
0.728571429,0
1.857142857,0
7.142857143,0.957142857
0,2.26
2,2.871428571
6.742857143,4.857142857
2.114285714,2.428571429
1.1,2.571428571
3.057142857,6.557142857
4.871428571,2.428571429
2,2.942857143
3.8,0
0,2.028571429
6.185714286,4.2
3.571428571,3.371428571
0.042857143,0.814285714
8.8,5.9
1.085714286,3.371428571
6.7,7.357142857
4.728571429,3.528571429
0.228571429,1.757142857
1.285714286,1.657142857
3.357142857,2.042857143
0.714285714,2.1
1.557142857,3.257142857
0.242857143,1.842857143
0,2.142857143
0.442857143,3.614285714
0.071428571,2.3
2.214285714,7.442857143
1.942857143,2.485714286
2.114285714,2.8
0.457142857,2.357142857
2.971428571,3.242857143
0.6,0.828571429
0.114285714,0.257142857
0,1.8
1.514285714,3
1.371428571,2.557142857
1.157142857,2.228571429
0.485714286,0
0.3,2.614285714
0.1,0.885714286
1.7,1.342857143
5.971428571,4.4
0.028571429,2.357142857
2.971428571,3.257142857
5.671428571,3.9
4.242857143,2.157142857
10.62857143,6.7
1.214285714,3.957142857
0,0.628571429
0.328571429,0.442857143
4.1,2.285714286
0.485714286,1.6
0.328571429,1.4
1.271428571,1.914285714
0.828571429,0.957142857
0.085714286,1.842857143
0.885714286,1.914285714
1,3.528571429
8.542857143,3.814285714
0.085714286,0.442857143
3.7,1.914285714
0.114285714,2.114285714
0.014285714,0.7
0.785714286,2.357142857
4.528571429,2.628571429
2.785714286,4.857142857
2.514285714,2.371428571
1,1.6
0,0.828571429
1.457142857,2.428571429
0.4,1.714285714
9.514285714,4.214285714
11.67142857,3.571428571
9.128571429,6
2.628571429,1.857142857
2.4,3.642857143
0.542857143,1.071428571
4.428571429,3
6.2,2.671428571
1.957142857,3.571428571
0.514285714,2.557142857
0.571428571,2.814285714
4.1,4.142857143
0.028571429,2.042857143
4.742857143,2.871428571
1.285714286,1.771428571
1.257142857,1.4
4.185714286,1.585714286
4.114285714,0.314285714
4.971428571,3.571428571
3.785714286,1.471428571
2.857142857,3.7
6.585714286,4.4
3.271428571,1.971428571
0.085714286,0.757142857
2.528571429,2.928571429
7.614285714,3.128571429
0.6,1.285714286
4.857142857,2.542857143
1.342857143,0.571428571
2.7,3.757142857
0,1.514285714
3.4,3.442857143
0.4,3.114285714
2.971428571,3.971428571
2.742857143,3
4.228571429,3.442857143
2.042857143,2.057142857
0.642857143,2.614285714
0,0.642857143
5.457142857,3.514285714
0.042857143,1.542857143
1.871428571,2.614285714
1.914285714,3.114285714
0.014285714,1.157142857
0.971428571,3.271428571
0.257142857,2.414285714
2.7,5.1
2.757142857,4.4
0.471428571,4.342857143
2.557142857,5.628571429
4.2,2.3
0.085714286,1.414285714
1.542857143,2.357142857
0,0
3.1,3.085714286
4.285714286,4.714285714
3.514285714,3.957142857
5.357142857,4.4
3.214285714,3.328571429
5.557142857,2.3
2.3,2.5
1.114285714,3.442857143
1.9,2.485714286
2.871428571,5.3
6.771428571,2.814285714
7.642857143,1.628571429
2.057142857,3.414285714
1.642857143,2.057142857
2.042857143,2.242857143
0.485714286,1.414285714
1.4,2.042857143
3.814285714,3.957142857
1.628571429,1.842857143
2.185714286,3.457142857
2.928571429,2.8
0.385714286,1.271428571
0.485714286,1.142857143
9.871428571,3.642857143
6.128571429,2.871428571
0.6,2.242857143
0,1.914285714
5.414285714,2.5
0,0.957142857
1.357142857,1.842857143
6.928571429,5.171428571
2.528571429,4.857142857
5,3
1.714285714,2.171428571
3.014285714,3.014285714
0.028571429,0.257142857
3.185714286,2.942857143
1.028571429,1.271428571
5.128571429,3.828571429
0.185714286,2.8
2.271428571,2.5
1.2,1.028571429
2.371428571,3.114285714
0.357142857,2.042857143
2.328571429,5.171428571
3.357142857,3.128571429
0.028571429,0.828571429
1.771428571,3.128571429
2.671428571,2.685714286
3.914285714,1.657142857
5.057142857,3.571428571
1.5,0.5
2.9,4.085714286
2.742857143,2.871428571
2.628571429,4.085714286
3.385714286,1.028571429
3.9,2.614285714
7.042857143,4.6
2.7,3.571428571
0.585714286,1.142857143
3.857142857,2.157142857
2.285714286,6
0.085714286,1.8
2.428571429,3.385714286
1.528571429,2.242857143
1.885714286,1.971428571
3.657142857,5.3
1.157142857,2.8
4.571428571,2.314285714
0.657142857,0.642857143
3.057142857,3.971428571
1.628571429,4.214285714
2.628571429,3.9
1.485714286,3.5
4.3,2.671428571
3.8,2.242857143
3.3,3.257142857
0.071428571,2.742857143
2.371428571,2.671428571
0.242857143,3.4
0.657142857,0.885714286
1.242857143,2.357142857
0.028571429,1.142857143
4.428571429,1.714285714
1.414285714,1.757142857
2.542857143,3.628571429
0.957142857,2.228571429
0.3,4.085714286
1.142857143,1.471428571
2.128571429,2.614285714
1.271428571,0.828571429
0,1.971428571
3.9,5.114285714
0,2.357142857
2.2,6.714285714
3.971428571,2.557142857
2.157142857,2.928571429
3.8,2.428571429
1.2,3.371428571
1.271428571,1.085714286
0,3.185714286
2.828571429,2.357142857
12.74285714,6.314285714
0,1.142857143
1.4,3.128571429
1.757142857,3.071428571
0,0.957142857
1.014285714,3.757142857
2.1,1.985714286
8.557142857,2.571428571
7.514285714,6.142857143
0.385714286,2.1
16.1,5.314285714
4.857142857,4.771428571
1.771428571,3.314285714
0,0.7
4.985714286,4.714285714
0.542857143,1.728571429
2.2,1.142857143
9.4,2.742857143
4.528571429,4.914285714
1.014285714,2.114285714
6.1,3.957142857
2.028571429,2.428571429
3.371428571,1.471428571
0.657142857,1.657142857
1.685714286,2.357142857
9.885714286,6.857142857
1.414285714,4.371428571
7.285714286,4.485714286
2.285714286,2
5.528571429,1.828571429
1.971428571,3.328571429
0.471428571,1.614285714
5.414285714,9.171428571
0.914285714,1.614285714
1.828571429,2.642857143
3.828571429,2.685714286
4.9,1.942857143
0.028571429,1.142857143
6.2,7.457142857
4.328571429,3.2
6.557142857,4.428571429
6.685714286,4.685714286
4.8,3.2
5.985714286,6.028571429
1.457142857,3.642857143
1.2,3.428571429
4.8,3.971428571
0.2,1.428571429
4.814285714,5.428571429
10.2,5.728571429
0.014285714,2.871428571
0,0.528571429
0.328571429,0.857142857
1.985714286,1.371428571
0.957142857,0.457142857
0,1.428571429
0,0.828571429
0.157142857,1.571428571
1.742857143,3.157142857
0.685714286,2.057142857
4.071428571,2.442857143
0.814285714,5.757142857
1.742857143,1.4
3.714285714,2.357142857
1.971428571,2.014285714
6.4,5.2
0,1.828571429
2.542857143,3.442857143
1.185714286,1.4
2.042857143,0.871428571
1.771428571,3.8
1.557142857,3.457142857
0,2.342857143
4.914285714,6.714285714
0.014285714,4
0,4.414285714
0.8,4.257142857
0,0.871428571
0.485714286,1
1.142857143,3.285714286
9.171428571,4.628571429
0.042857143,0
2.014285714,3.114285714
0.214285714,2.171428571
0.3,0.428571429
1.7,0
0.328571429,3.742857143
3.228571429,2.185714286
0.785714286,3.542857143
1.2,1.357142857
1.085714286,4.485714286
0.414285714,0.714285714
4.771428571,1.1
0.957142857,1.5
1.285714286,1.142857143
10.98571429,5.242857143
4.271428571,3.971428571
2.814285714,3.885714286
5.885714286,2.7
4.342857143,5
1.957142857,3.314285714
0,2.5
3.185714286,4.157142857
2.071428571,3.642857143
1.428571429,3.414285714
2.342857143,2.571428571
0.528571429,2.071428571
4.914285714,3.585714286
0.171428571,1.328571429
0.885714286,0.814285714
2.985714286,3.285714286
3.357142857,2.642857143
2.542857143,3.057142857
3.271428571,2.3
2.642857143,1.285714286
1.128571429,1.9
1.642857143,4.1
0.242857143,1.342857143
1.157142857,2.014285714
20.65714286,6.442857143
3.171428571,2.1
1.557142857,2.5
1.628571429,3.4
2.128571429,4.971428571
0.314285714,1.242857143
2.014285714,2.114285714
0.642857143,0.714285714
0.128571429,0
1.871428571,1.457142857
1.771428571,1.9
0.685714286,1.771428571
0.4,3.471428571
1.471428571,1.771428571
4.042857143,5.542857143
1.142857143,1.885714286
3.4,3.285714286
0.342857143,0.785714286
1.242857143,4.314285714
1.942857143,3.371428571
1.114285714,1.285714286
0.057142857,1.628571429
0.157142857,0.8
0,1.228571429
9.757142857,4.6
5.7,4
0.3,1.414285714
11.3,1.542857143
5.671428571,3.257142857
0,0.571428571
0.457142857,1.557142857
3.214285714,3.571428571
5.914285714,5.128571429
0.6,0.842857143
1.628571429,2.4
0,0.214285714
6.685714286,4.342857143
3.528571429,3.128571429
4.371428571,3.714285714
2.814285714,1.142857143
3.242857143,3.042857143
2.842857143,2.928571429
6.314285714,5.485714286
3.2,2.142857143
0,1.285714286
8.271428571,3.414285714
5.314285714,3.771428571
0.014285714,2.442857143
2.985714286,4.471428571
5.357142857,3.642857143
0.942857143,1.242857143
5.671428571,2.342857143
3.814285714,1.885714286
3.685714286,2.814285714
0.214285714,1.871428571
12.68571429,3.628571429
1.257142857,2.157142857
2.571428571,2.757142857
1.742857143,3.828571429
7.342857143,3.657142857
2.457142857,3.328571429
2.542857143,2.842857143
3.885714286,2.671428571
1.871428571,2.571428571
0.857142857,1.171428571
0,0.785714286
3.271428571,3.285714286
4.5,3.385714286
1.971428571,3.757142857
3.885714286,4.042857143
0.157142857,1.314285714
1.471428571,0.942857143
0,0.514285714
0,2.628571429
4.814285714,2.942857143
1.985714286,0.214285714
0,0.685714286
0.8,2.128571429
3.4,4.585714286
5.585714286,2.485714286
1.442857143,2.8
4.942857143,3.642857143
5.842857143,1.157142857
3.014285714,3.085714286
0.471428571,0.828571429
5.857142857,4.142857143
0.414285714,1.385714286
5.657142857,5.671428571
8.414285714,3.442857143
0.742857143,1.757142857
2.114285714,2.3
4.428571429,2.1
5.928571429,2.328571429
4.514285714,4.614285714
3.257142857,3.8
0.771428571,2.871428571
3.828571429,3.557142857
2.842857143,3.257142857
0.771428571,2.128571429
2.128571429,2.614285714
0,2.857142857
3.6,0.828571429
0.071428571,3.028571429
3.942857143,1.871428571
11.47142857,2.628571429
10.68571429,3.485714286
3.728571429,2.2
0,0.228571429
8.157142857,5.985714286
5.528571429,5.671428571
0.014285714,1.128571429
0.4,2.428571429
0.1,1.142857143
2.314285714,3.285714286
4.628571429,1.985714286
1.014285714,1.514285714
5.585714286,4
8,5.157142857
2.928571429,2.914285714
5.642857143,5.285714286
3.971428571,2.857142857
1.942857143,3.857142857
0.157142857,0.6
0.871428571,1.642857143
0.014285714,1.828571429
4.157142857,2.471428571
1.1,1.057142857
0.714285714,3.171428571
7,5.114285714
1.1,3.271428571
2.371428571,3.185714286
0.028571429,2.985714286
12.18571429,9.971428571
3.585714286,4.771428571
3.728571429,4.657142857
4.371428571,3.285714286
2.814285714,3.085714286
0.757142857,2.814285714
1.228571429,4.185714286
0.671428571,3.471428571
3.357142857,3.457142857
0.171428571,2.042857143
11.58571429,5.871428571
16.37142857,7.614285714
1.285714286,2.842857143
0.914285714,2.414285714
0.4,3.642857143
8.528571429,5.828571429
0,3.957142857
2.128571429,3.342857143
0,1.814285714
2.285714286,2.885714286
0,2.885714286
1.871428571,2.642857143
10.81428571,6.871428571
1,2.528571429
0.471428571,2.885714286
2.357142857,3.5
3.385714286,4.757142857
1.285714286,5.042857143
6.071428571,4.885714286
2.257142857,4.985714286
5.371428571,6.257142857
0,4.314285714
3.042857143,5.057142857
2.3,3.24
1.557142857,5.242857143
7.514285714,5.671428571
4.471428571,8.528571429
0.228571429,3.957142857
11.9,4.771428571
0.628571429,2.442857143
1.757142857,3.7
0.485714286,3.942857143
3.057142857,4.571428571
2.842857143,4.142857143
6.157142857,3.942857143
0.028571429,4.157142857
5.5,4.714285714
1.357142857,3.514285714
2.328571429,4.671428571
3.485714286,3.728571429
7.828571429,8.514285714
0.542857143,3.414285714
0,3.785714286
0.328571429,4.057142857
1.342857143,3.471428571
2.028571429,2.442857143
4.814285714,4.628571429
0.128571429,3.9
3.242857143,4.414285714
1.457142857,6.942857143
5.514285714,3.885714286
0.157142857,3.328571429
0.942857143,3.785714286
0.928571429,3.471428571
3.942857143,3.642857143
5.942857143,4.871428571
3.542857143,5.928571429
0,4.085714286
0.814285714,3.642857143
2.285714286,4.357142857
2.714285714,2.857142857
1.571428571,2.971428571
0,2.985714286
0.114285714,2.242857143
1.185714286,3.542857143
4.242857143,4.714285714
1.771428571,3.071428571
4.885714286,5.171428571
0.257142857,3.314285714
3.857142857,4.828571429
1.342857143,3.8
4.328571429,3.314285714
3.314285714,4.028571429
0,4.142857143
3.528571429,2.628571429
3.885714286,4.142857143
1.028571429,3.185714286
9.942857143,4.157142857
1,3.214285714
1.257142857,3.1
0,3.242857143
0.2,3.7
6.357142857,6.071428571
0.057142857,3.485714286
2.928571429,4.485714286
0.828571429,4.2
0.028571429,3.085714286
1.785714286,4.271428571
0.6,3.571428571
3.7,4.8
0.014285714,2.457142857
2.028571429,2.614285714
0.685714286,2.314285714
16.74285714,3.342857143
5.542857143,2.885714286
9.1,4.257142857
0.771428571,4.471428571
0.028571429,3.071428571
0.9,4.714285714
2.957142857,3.557142857
5.471428571,6.628571429
4.142857143,4.671428571
3.585714286,3.1
0.871428571,2.642857143
1.6,3.085714286
4.157142857,3.371428571
0.7,1.928571429
2.257142857,1.942857143
2.971428571,2.8
5.257142857,2.871428571
4.657142857,4.614285714
0.057142857,0.428571429
2.157142857,2.871428571
0.785714286,1.571428571
5.271428571,2.871428571
2.528571429,1.942857143
0.342857143,1.642857143
0.7,2.3
0,2.5
0.342857143,2.3
1.342857143,2.728571429
1.357142857,2.428571429
0.942857143,1.728571429
1.985714286,4.471428571
4.014285714,2.228571429
0.057142857,2.5
5.314285714,4.328571429
3.742857143,4.328571429
4.528571429,3.885714286
4.328571429,3.542857143
1.614285714,1.985714286
2.542857143,1.885714286
1.171428571,3.371428571
0,2.057142857
0,2.514285714
4.914285714,3.328571429
3.157142857,2.7
21.44285714,6.257142857
2.757142857,3.8
0.042857143,2.471428571
0,2.714285714
4.4,3.828571429
5.185714286,2.628571429
1.6,2.828571429
1.7,1.871428571
0,2.6
0,2.785714286
7.257142857,1.971428571
1.971428571,4.271428571
1.5,1.2
1.542857143,4.785714286
2.871428571,2.785714286
5.371428571,4.414285714
1.442857143,2.557142857
0.557142857,3.257142857
2.9,2.685714286
1,2.128571429
0.4,2.471428571
0.571428571,2.728571429
1.814285714,3.5
4.128571429,2.7
2.942857143,4.557142857
0.857142857,3.528571429
2.957142857,3.142857143
2.571428571,4.557142857
1.5,5.185714286
0.885714286,3.785714286
3.214285714,3.1
8.285714286,4.1
0.342857143,2.771428571
4.528571429,2.957142857
1.257142857,2.957142857
3.114285714,3.257142857
0,2.271428571
12.35714286,2.671428571
7.6,4.028571429
4.4,3.2
3.342857143,3.771428571
1.928571429,2.671428571
